speed_object_1_kph,speed_object_2_kph,angle_degrees,PET,acceleration_obj1_mps2,acceleration_obj2_mps2,min_dist_dual_check_m,object_count_at_frame1,target_dist_px,FE_inv_PET,FE_safety_index,FE_log_mesafe,FE_dist_squared,class_object_1,class_object_2
3,10,26.24,2.13,0.56,0.0,4.14,54,51.205,0.4694833476604002,0.1269407259654189,3.9551782757420737,2621.952025,Car,VRU
4,3,3.22,2.57,1.11,0.56,11.219,57,150.773,0.3891049069630712,0.02321370521768682,5.022385983528918,22732.497529,Car,Ped
9,12,27.9,2.8,0.0,0.0,5.453,45,69.671,0.3571427295918823,0.15070832698384798,4.258035304878579,4854.048241000001,Car,LCV
9,14,48.17,1.9,0.56,0.0,3.165,51,37.483,0.5263155124655198,0.3068057437556828,3.6502165853365445,1404.9752889999997,Ped,VRU
7,10,70.46,2.27,1.11,0.0,2.846,51,32.993,0.44052844029584126,0.25763039864121484,3.526154621066539,1088.5380490000002,Ped,VRU
20,15,9.92,3.0,0.0,0.0,25.46,50,351.072,0.33333322222225925,0.04984732462330427,5.8638357001360735,123251.549184,VRU,VRU
20,15,8.28,2.9,0.0,-0.56,24.332,50,335.211,0.3448274673008733,0.05220592387419887,5.817738939059142,112366.41452100001,VRU,VRU
12,14,9.41,1.03,-0.56,-0.56,2.612,51,29.702,0.9708728438127731,0.437680949509092,3.4243277990510097,882.2088040000001,VRU,VRU
11,14,3.84,1.13,0.0,1.11,3.161,50,37.433,0.8849549690663993,0.3339299459319332,3.6489164655424062,1401.229489,VRU,VRU
11,13,7.55,1.2,1.11,2.22,3.646,51,44.253,0.8333326388894676,0.2711680502752796,3.8122689662908384,1958.328009,VRU,VRU
9,14,10.87,2.5,0.0,0.0,14.311,56,194.265,0.399999840000064,0.05919748766274168,5.274357610352805,37738.890224999996,Car,VRU
11,6,4.21,2.87,-1.11,-1.11,5.167,54,65.64,0.3484319343442737,0.12949420887425034,4.1993049978585875,4308.6096,VRU,Car
13,3,62.49,1.1,-0.56,0.56,0.5,46,0.0,0.9090900826453794,8000000.0,0.0,0.0,VRU,Ped
14,11,0.81,1.03,0.0,0.0,4.068,46,50.179,0.9708728438127731,0.2491081877058493,3.9353292916583804,2517.932041,VRU,VRU
13,11,1.13,1.27,0.0,0.0,3.452,49,41.521,0.7874009548023978,0.28901037332890894,3.749998071541504,1723.993441,VRU,VRU
13,11,1.0,1.3,0.0,0.0,3.515,50,42.402,0.7692301775152481,0.2830055119332694,3.7705055229938815,1797.9296040000002,VRU,VRU
14,14,1.92,2.63,0.0,0.0,16.338,45,222.774,0.38022799230874815,0.06284395816906839,5.410636613972579,49628.255076,VRU,VRU
