sample_index,speed_object_1_kph,speed_object_2_kph,angle_degrees,PET,acceleration_obj1_mps2,acceleration_obj2_mps2,min_dist_dual_check_m,object_count_at_frame1,target_dist_px,FE_inv_PET,FE_safety_index,FE_log_mesafe,FE_dist_squared,class_object_1,class_object_2,event_type
657,4,11,60.44,1.6,0.0,0.0,1.071,43,9.024,0.6249996093752441,0.8311169291758723,2.3049822175937678,81.43257599999998,Ped,VRU,1
658,19,7,82.77,1.87,0.0,0.0,2.805,42,36.427,0.5347590723213517,0.3568781300442493,3.622392369091576,1326.926329,Car,VRU,0
659,13,3,73.1,2.43,0.0,0.0,8.525,40,126.802,0.4115224643940475,0.0630904870341912,4.850482191273252,16078.747204,VRU,Ped,1
660,12,10,42.31,1.73,0.56,0.0,2.186,43,26.644,0.5780343479570244,0.4128509077897122,3.319408706229148,709.9027359999999,Car,VRU,0
661,15,15,12.06,1.17,0.0,0.0,2.957,43,38.823,0.8547001241879282,0.3863688950784614,3.684444634823824,1507.225329,Car,VRU,0
662,6,5,21.13,2.5,0.0,-0.56,0.885,43,6.089,0.399999840000064,0.9032680401924716,1.9585442868728808,37.07592100000001,Car,VRU,1
663,8,16,85.82,2.67,0.56,-0.56,3.417,37,46.087,0.3745316949319494,0.2603771072020937,3.851996954432449,2124.011569,Car,VRU,0
664,8,20,11.67,1.9,0.0,0.0,4.52,37,63.518,0.5263155124655198,0.220409959060267,4.166944254636444,4034.536324,Car,VRU,0
665,20,3,74.0,3.0,0.0,0.0,20.581,42,317.312,0.3333332222222592,0.0362419321165227,5.763032033860162,100686.905344,VRU,Ped,0
666,10,10,11.24,1.87,-0.56,0.0,2.204,38,26.927,0.5347590723213517,0.3713744430729586,3.3295939628024627,725.063329,Car,VRU,0
667,10,6,14.84,1.7,-0.56,0.0,1.577,38,17.015,0.5882349480970894,0.4701733487996856,2.891204744200057,289.510225,Car,VRU,1
668,13,14,24.12,1.4,0.56,1.67,2.205,39,26.949,0.7142852040819971,0.5009462131824478,3.330381420785741,726.2486010000001,Car,VRU,0
669,16,2,64.81,2.7,0.0,0.0,0.648,40,2.345,0.3703702331962099,3.837951455031362,1.207466693580192,5.4990250000000005,Car,Ped,0
670,3,21,66.58,2.8,0.0,-0.56,18.477,41,284.063,0.3571427295918823,0.0422441499165884,5.652710208471697,80691.787969,Ped,VRU,0
671,10,10,70.29,2.7,0.0,-0.56,7.472,37,110.162,0.3703702331962099,0.0907754026726511,4.71098859679593,12135.666244000002,VRU,VRU,0
672,9,8,74.13,2.8,0.0,2.22,1.725,37,19.363,0.3571427295918823,0.4389815401032102,3.013719528568378,374.925769,Car,VRU,1
673,9,9,36.8,2.5,0.0,1.11,2.249,39,27.635,0.399999840000064,0.3256739523910276,3.3546297458458207,763.6932250000001,Car,VRU,1
674,10,11,74.11,1.2,1.11,-2.78,1.849,41,21.316,0.8333326388894676,0.4925877044197924,3.1053039099832818,454.371856,VRU,VRU,1
675,6,5,1.03,2.93,1.11,1.11,11.012,43,166.109,0.3412968118440915,0.0331107884996551,5.118646294115045,27592.199881000004,VRU,VRU,0
676,11,9,89.41,1.93,0.0,1.67,1.737,35,19.55,0.518134446562463,0.5115089252425101,3.022860940942244,382.2025,Car,VRU,1
677,17,5,61.07,1.53,-1.11,0.0,0.995,42,7.824,0.6535943440559843,1.4059302906530815,2.1774752819512013,61.214976,VRU,Ped,1
678,8,9,33.82,2.87,-1.11,2.22,4.364,34,61.064,0.3484319343442737,0.1391982159832599,4.128166110697611,3728.812096,VRU,VRU,1
679,13,7,73.17,1.8,0.0,0.0,1.215,38,11.301,0.5555552469137517,0.8848773661731382,2.509680559886648,127.712601,VRU,Car,1
680,8,11,75.73,2.67,1.11,1.11,1.931,41,22.614,0.3745316949319494,0.4200937286595149,3.161839756484918,511.392996,Car,Car,0
681,9,24,69.73,2.77,-1.11,-0.56,0.737,36,3.741,0.3610106999961371,4.4105842259865735,1.5562480839199813,13.995081,Car,VRU,1
682,14,4,58.79,1.9,1.11,0.0,1.024,45,8.281,0.5263155124655198,1.0868251314062154,2.227969299613256,68.57496100000002,Car,Ped,1
